,Author,Comment,Sentiment
15,@valvo3389,I’ve always been doing these things subconsciously without knowing and then blamed everyone around me as to why I felt unlikeable so I’m glad I found this video and hopefully I’ll change.,Positive
16,@babyyoda9943,"I feel like this year i have improved a lot physically and in some ways mentally, but also in other ways i have gotten even worse. Despite the improvements, i also hate myself for some things i have done and can’t take back. I hope you guys are doing better than me ",Negative
17,@collateral7925,For people who recognize themselves in this: it may be hard to change at first because the behavior is persistent and likely to return. Therefore place yourself in situations in which you are with your back against the wall and you only have the possibility to move forward and it's on you to make it happen. Then use the same force that held you back to push you through the hard times instead. This works best if you are in a new environment.,Positive
18,@mrlaserboy,"About one to two years ago (even tho it seems way longer) i realized how self destructive my every day behaviour was and I doubted that i could escape the cycle and maybe even fail the final exams of school. I didnt follow a comcrete strategy to get out of it but i was more and more confronted with my fault which lead to me simply changing my life bit by bit and every bit i got more content. I found motivation in music, just playing for myself und practicing for hours every day and now Im in a band with my best friends, struggle but manage my first semester at uni and am just happy in general. The key is thinking and reflecting... so many times i was just mad at myself for doing something bad or being lazy until I just stopped more and more. And when you realise the improvement, it automatically becomes a habit to just reflect more about yourself that the outside world and how to adapt yourself to being more happy with whaz you give and what you get... ",Positive
19,@nasos683,"This is so powerful. The funny thing is, telling someone how TO ruin their life as if they should do it is actually more powerful and shocking than telling them how NOT to. A genius idea, presented with exceptional footage.",Positive
20,@builderphill1361,I love this video and greatly appreciate the message given. You've helped me recognize many bad habits I have and have helped me recollect and correct my errors and helped me live a better life.,Positive
21,@13984980,"Turning 29 soon. Friends have moved on whether they’re doing better and or worse. All I think now to myself is all the time lost in chasing highs in my early to mid 20’s when I was with them. I know it’s not too late since I have no kids to add more weight to myself so no worries there, however this sense of loneliness can be quite humbling and or mentally crippling depending on your point of view. Great video, 2024 is the year to work harder and learn more skills for myself so 10 years from now I’ll hopefully be living comfortable.",Positive
22,@bigboybaxxo9024,"It’s funny because I relate to this but I don’t at the same time. I try to improve myself and I actively do every day. It’s incredibly easy to live like this though, and if I don’t actively make good choices I fall back into this type of behavior. You gotta remember that truly you can do anything, but you just gotta have the dedication to make it happen.",Positive
23,@HyperKilljoy112,"This video really had me feeling the chills. Hearing point after point, and realizing how it’s applicable just made me feel more guilt.",Positive
24,@austenmarais,"the first couple felt very familiar to me, but luckily as the video went on i began to be thankful i havent let myself go too far. good luck to anyone else working on making their dreams come true️",Positive
25,@emirmontazeri,"For a long time, I always thought ""I never planned to be here."" Only now to realize that is the exact reason I am where I never wanted to be. The plan that I chose was ""Not planning at all"". Procrastination, destructive habits, pointless daydreaming, etc are the things that got me here. Inaction paired with negative self-talk is a genuine slow death.",Negative
26,@zack6012,"I really liked the part about being late. I used to notice this with myself and more so with my other coworkers. I used to not like making small talk, but being early does make you look better. I still have friends and coworkers who are scared to be early to anything even social gatherings. god forbid you be the first person to the bar and you have to sit by yourself for a bit. some think no one is coming at all and they're just at the bar by themselves. Who cares? be fine being by yourself. you miss out on so much otherwise. I had so many plans with friends fall through because no one wanted to be the first one somewhere. we were all ina  group chat waiting for someone to say ""on my way"" or ""I'm there"" before we went out the door. I found a lot more success getting people together If I just told people ""I'm going out for a drink, feel free to join"". Someone usually showed up. If not that wasn't a big deal I could still have a drink and just leave, maybe meet some new people.",Positive
27,@yoblades,"I like how this film informs of all of the things that may negatively impact your social life - However, this can give the illusion that everything for the sake of your mental health is in your own control. Mental disorders such as social anxiety, bpd, aspd, etc are very real things and convincing yourself that you can overcome social and mental struggles yourself does not work for everyone. I’ve dealt with this myself. Getting professional help and regularly talking with someone should be first on the list to prevent all of the things that happened in this film.",Positive
28,@FnBaran,These type videos really motivates me to change my life for the better. I’m very grateful for this reminder to improve my life in different ways ,Positive
29,@butterscotchwm,"The bit about being closed off in public and not talking to anyone out of fear of an awkward interaction is the one I'm the biggest offender of. I'm more comfortable interacting with people I see regularly and don't like spontaneous human interaction. For some reason that's really difficult for me, but ever since the pandemic I've been forced to try to learn, because I no longer have a school or office setting to see the same faces every day. I've also been allowing myself to be a couple minutes late to zoom meetings more and more, justifying it by telling myself ""it's basically the same time, they won't care and it doesn't matter."" But these little things can give off a ""vibe"" that you are scatterbrained or under-prepared. You could be a good worker, but you might not be the first person someone recommends anymore.",Positive
30,@olegghansen,"Bullet points for NOT ruining your life: 

- Step 1: Maintain open body language, stand tall, make eye contact, and engage in social interactions to appear welcoming and receptive.",Positive
31,@Maze305,I was definitely in a spot like this for a short period not too long ago .  This was spot on. Humbling myself to prayer instead of on just wishing for good things to happen and having a little more gratitude for the good things/relationships with people that I have in my life has gone a long way.  I’m not there yet but really trying daily to not be so closed off and negative. I think it really does start with practicing improving on the things you named here. Great video,Positive
32,@0xroute,"Absolutely excellent video, both in message and cinematography. No further words dude, holy shit... This actually just motivated me to start filming stuff myself.",Positive
33,@erin7523,"Some of these I can most certainly work on. The rest of them, I'm actually content with being and don't allow them to make me miserable or ruin my life. I'm very methodical about the people i invite into my life. Not having friends is not a bad thing nor is it a big deal. I'm a very personable individual, there's just many reasons why I'm ok with being on my own.",Positive
34,@congee9417,"I love following your advice, it’s one of the few that actually seems to make some difference in my life. I guess it’s just the part where I act upon good words but your content is very in tune with the way I have lived before. Thanks betterideas, I forgot your name I apologise for that fact, I love the theme of your content, keep growing!",Positive
35,@the_fitness_doc,"What a brilliant, powerful, amazing message. Such a different perspective by reversing it, but so potent in how it wakes you up. Thank you for this. A masterpiece.",Positive
36,@tombensonfilms,"Mate! For me, from a filmmaking standpoint, this is the best video you've ever made - and that was a high bar to beat! You can tell you really put a lot of hard work into this and it definitely paid off. Nice one man ",Positive
37,@schooper.,"Great vid, thankfully a few years ago I pulled myself out of not taking responsibility for my own actions and to not blame everything on others. I learned it the hard way…but I changed and still work on it every day. However the first few points about shutting down and avoiding human interaction at all costs is crippling me. I’m going to work on changing that, so thank you. Same with talking negatively about others, I do that wayyyy too much especially at work. ",Positive
38,@gobblegamerxxx110,Step 1-4 is literally what I have been doing ever since I came to uni and long before that too. this video was a great eye opener for me. Will try to be better from now onwards,Positive
39,@susiemakesyoudoit,"what if you have generalised anxiety disorder, social anxiety disorder, autism spectrum disorder, attention deficit hyperactivity disorder, agoraphobia and paranoia does that mean your life is ruined from the day it started?",Negative
40,@NyeTheDreamer,"Amazing video! I’ve been struggling with depression since I was ten years old.. no longer letting all of those years hold me back. My life is in my hands and with God’s help, my life will be what I want to see! ",Positive
41,@zeduck415,"To contradict some of these:
don't look for validation. Don't show up late, it makes you stand out. Don't steal the spotlight, then you have to talk to people. Don't make excuses. You wouldn't want to be known as the person who makes excuses. You don't want to be known at all.",Negative
42,@Jimmy_99,"I'm working on the last 2 steps but I'm excited to see my journey to ruin my life going so well! Thanks for this tutorial, really helped me envision how to achieve the worst me.",Negative
43,@theharlequin611,This should be taught in schools. I think it's really important for kids to be aware of today's society and how everything they do will reflect on their future.,Positive
44,@billecay,Fantastic list! I became a master at step 6 when I was in college. It took me decades to unlearn that one. I still grapple with step 11. Thanks for the loving reminder that I can change.,Positive
45,@anibalbarca9549,"In short, don't you dare to have any ADHD symptoms or your life is ruined, great video.",Positive
46,@pinancyrana3109,This video should reach to the wider audience because it contains very important things  ……..points in this video are so accurate and it should be recommended to everyone especially to the people of this generation,Positive
47,@chaotically-moon,"I’m glad since the last  video teaching me how to be miserable, I can say I don’t relate anymore :). I’m so proud of myself, thank you, Joey.",Positive
48,@DanilsonCarvalho,"God, this video is art. Your cinematography is nothing to scoff at, mate. You know, I sometimes worry about just how much subtlety I'm missing out on. Kind of like the anxiety of knowing you'll never read enough books. And all I can say is youve successfully induced that anxiety in me with this piece, which is a good thing. The aspect ratio immediately draws the eyes, the introduction of green into the black and white video during the sponsored section makes it really pop and stand out with a unique color profile for the shots, also obviously symbolizes health and vitality with the more layered message of ""Hey, if you focus more on your health, you introduce the color green into your life"" which immediately leads me to think thats the guiding light behind your color side of videos. ""Living bad makes the world grey, living better introduces color back, with every facet of life being a different color introduced back into your lens"".",Positive
49,@PaulYuNow,"I enjoy these videos of yours and their counterparts Joey, and I am curious as to why you decided to shoot one ultrawide and this one square. Maybe because this one is in black and white and the square ratio gives a more old film feeling? Anyways, looking forward to your next counterpart video! Thanks for these Joey.",Positive
50,@aydenpeters,This is an incredible film. Thank you for pointing out all my flaws and showing me exactly what is wrong in my life. This is so incredible to see.,Positive
51,@michihdzz,"This video definitely made me self reflect, thank you for bringing awareness to this type of thinking and behavior.",Neutral
52,@Exclutinator,It's sad how I didn't notice my life being almost the same as this poor guy,Negative
53,@asurvivor3846,"People, remember to watch this video in order to learn, recognize, and avoid the flaws whether you're doing them or not, and then, correct them and replace them with better things. This video  wasn't made to make you depressed, sad, or hopeless, in fact it's the opposite.",Neutral
54,@ChillySnail-xu4eu,"This is incredibly powerful. I feel like you could make a full length anti-film, if that makes sense? Like using this negative technique in order to make people realise their current lifestyle choices. It really puts your mindset back in the present time.",Positive
55,@benkeefe7594,i think it’s so profound and interesting that the ideas of self put forth in this video often contradict one another — “believe you are never at fault” and “believe you are unredeemable and bad”. an unhealthy relationship with yourself is often full of contradictions about self image,Negative
56,@ghorse4178,"After #8, every point hit really hard, I've been having struggles with deadlines, lifestyle and college for 3 years, wow really good content",Positive
57,@808police,Thank you for making this video. It hit me like a ton of bricks. I'm guilty of so many of these things and was unaware of it. Thank you again.,Neutral
58,@materiasacra,"I find the items involving duplicity hard to do, but the rest I'm managing quite well already, and have been for decades. My message to everyone: this stuff mostly works!",Positive
59,@zach_zach5898,"I'm fairly young still, going to start my masters next year. For me the greatest error I've done since reaching adulthood is losing my habits. My habits were something that solidified my perception of self and now that I've gradually lost those habits, I feel lost, without purpose. My self-worth is the lowest it's been and I'm not sure I'm even going to finish my degree. Luckily I don't really close myself from the rest of the world and I have some people I discuss with and open up to, it will work out one way or another.",Positive
60,@idek6333,"1-open up your body language 
2-don’t check your phone regularly as a habit 
3-be early 
4-don’t make excuses and know how to apologize ",Positive
61,@miraculous2366,"Awesome video! Just as an introvert, who moreover has not yet totally recovered from burnout, I don't think I can maintain that open body language that would make me make new friends. I'm optimistic, I don't suffer depression, but I'm just physically too exhausted.",Positive
62,@crustttttt,"Maybe the fact that this was recommended to me in this moment of my life, is an answer to a personal prayer; a wish granted for things to get better. Lamenting alone ny desires will gey nothing done. The last step hit the nail right on the head for me. The looping sense of regret and angst that nothing will change until I just perish is a poisoned drink I continue taking. ",Positive
63,@boot_912,"After watching this video, I started rethinking how I'm going in life, because the things described in the videos always fit myself.",Positive
64,@booklovingpoet5942,"This video made me realize so much about myself and some of these points described me so perfectly, it's crazy. It feels horrible to feel like you have no agency in your own life, and I got here by taking the path of least resistance from ever since I was a child. As my sister grew up, she shocked me time and time again by asking for things I wouldve never thought to ask, like for clothes and such, and let's just say that her childhood has been more colorful than mine up until this point(I mean that quite literally too) but she's shocked me in the many times where she managed to not become mild and people pleasing as a way of coping like I did, and I will always admire her for that. I was  jealous of her in that regard but credited it to her being extroverted and me being introverted but now I'm sincerely wondering if that's true.",Negative
65,@firemonkey1015,"I’ve been struggling through serious depression for years now. At one point I locked myself in my room for a year, only leaving to go to the bathroom or shower. Most of these things are my norm. However only recently I started feeling this 5:00, I have immense guilt for my past and how I am. Wish I could get over it but it eats at me a lot, I feel bad for most people who’ve been around me.",Negative
66,@clumsyshtick7543,"This video really provoke me in a deep meaning, I barely have friends, and I'm socially anxious and shy to the point I'm anti-social, I always accommodate to my phone just staring to my screen and escaping from my slowly collapsing reality, it hurts but I thank this video to actually snap me back.",Negative
67,@lorek06,"I love how most of the steps are things we somewhat all did (tbh I’m doing some of those even now), that makes the video so relatable",Positive
68,@andrijasaviccsavic1124,I found myself in this more then i thought I would. Thank you on pointing up mistakes.,Positive
69,@hryhthbrfthrh,"thanks man, I needed that. For the last 3 years I've been on some kind of a life turn, and periodically slipped into these habits. It's a constant struggle, but over time snowballs into being easier.",Positive
70,@caleballen9765,"I grew through these struggles, it hurt but In the end they made me stronger. I can do anything if I got through that, and so can you. Whoever you are, it will get better, you just have to try. I love you.",Positive
71,@meeploaf,"Ever since i grew up with anxiety and experienced episodes of depression as severe as major depressive disorder, i was always unsure of what habits i should be practicing in order to improve my outlook in life. Now i can clearly see which aspects that i haven't worked on through this video",Positive
72,@YelizGoktas-bh6ss,"The life lessons to take away from this video:

1. open body language ( improve posture/walk)
2. stop your consumption addiction",Neutral
73,@Pompompurin_0fficial_,"I'm a girl, and last year I had all those things since I was bullied. head down, no eye contact, closed body language, don't take up much space.
This year in the summer break I started Wonyoungism, I started taking care of my self, being productive, and dealing w my bullied and being a bit more open. I'm still dealing w social anxiety but it's I have A LOT LESS of it.",Positive
74,@charleskavoukjian3441,"Wow very accurate with the Chameleon analogy. Just swap masks depending on what situation you are going into, study and learn a lot from countless topics so conversations with strangers can go in any direction you choose.",Positive
75,@Savagedominator,"I like how you are low key extremely organized about your excuse making by keeping a time sorted list of your most recently deployed social smoke bombs 

Incompetence Mastery",Positive
76,@tatiii2679,"I thought this would be a completely different video like about becoming a criminal,falling into drugs or something like that and I clicked it to make myself feel better in a way “at least im not doing this” type of validation,  then started to realize how many of these things I actually do and how miserable life feels the more i make them a habit , this hit and from now on ill always keep it in the back of my mind and fix these issues instead of trying to compare myself to feel better and ignore the problems I create for myself.",Positive
77,@Amoral-uu3nf,"As a student, watching your videos has made me much more mindful of what I'm doing each and every minute of the day. 
Thanks a lot man!!<3",Positive
78,@Tom-ig8sh,"This is something i needed.There was this girl that i liked,i still like,im someone who feelings come and go too,but this time was different,and with that came the fear of rejection,because such a perfect person made me feel unworthy,and i couldnt bare the thought of being rejected by the person i cared so much ",Positive
79,@himez123,Holy shit!!! Definitely resonated with a couple of these. Thank you and I hope all that see this know they can get better and strive to be better in all aspects of life!!!! Oss! Respect and keep grinding y'all,Positive
